"id","puzzle_id","team_id","guess","is_correct","submit_time"
"36","alice","fee3c434-034b-4f1d-8da0-c3a686c74cec","SCRYMEARIVER","true","2024-11-24 03:43:19.901+00"
"82","carberry","a29306bd-fd6a-49c7-bb90-45a15abc7117","WRONG","false","2024-11-24 16:52:54.238+00"
"83","carberry","a29306bd-fd6a-49c7-bb90-45a15abc7117","HECTOR","true","2024-11-24 16:52:57.267+00"
"84","triple-threat","a29306bd-fd6a-49c7-bb90-45a15abc7117","SALTER","true","2024-11-24 16:54:33.564+00"
"85","bould-idea","a29306bd-fd6a-49c7-bb90-45a15abc7117","CLOVER","true","2024-11-24 16:55:18.11+00"
"86","flag-code","a29306bd-fd6a-49c7-bb90-45a15abc7117","WAVER","true","2024-11-24 16:55:32.788+00"
"87","redacted","a29306bd-fd6a-49c7-bb90-45a15abc7117","PARAGRAPHICALLY","true","2024-11-24 16:56:21.91+00"
"89","who-am-i","a29306bd-fd6a-49c7-bb90-45a15abc7117","CENTRALCOMMITTEEOFTHECOMMUNISTPARTYOFTHESOVIETUNION","true","2024-11-24 16:58:33.553+00"
"90","math","a29306bd-fd6a-49c7-bb90-45a15abc7117","HORSE","true","2024-11-24 16:58:42.952+00"
"91","previous-commute","a29306bd-fd6a-49c7-bb90-45a15abc7117","BUSING","true","2024-11-24 16:58:55.399+00"
"92","maize-maze","a29306bd-fd6a-49c7-bb90-45a15abc7117","ASBESTOSPOSSIBLE","true","2024-11-24 16:59:05.638+00"
"93","public-eye-exam","a29306bd-fd6a-49c7-bb90-45a15abc7117","PEEKPERFORMANCE","true","2024-11-24 16:59:19.41+00"
"94","gone-yesterday","a29306bd-fd6a-49c7-bb90-45a15abc7117","BACKFILLS","true","2024-11-24 17:00:12.863+00"
"95","triple-threat","2c7ad469-1988-42b0-8c2d-88abad1ff196","TRIPLE","false","2024-11-24 17:02:10.004+00"
"96","bloodsuckers","a29306bd-fd6a-49c7-bb90-45a15abc7117","GARLIC","true","2024-11-24 17:03:05.087+00"
"97","triple-threat","87a1f7e0-fb4f-4f37-8bb4-f50cd296c3e9","THREATTHREATTHREAT","false","2024-11-24 17:03:08.999+00"
"98","triple-threat","0495847e-de9c-4c6f-85c2-368cffee3e05","YUPTHISISPUZZLE","false","2024-11-24 17:13:38.467+00"
"99","triple-threat","2c7ad469-1988-42b0-8c2d-88abad1ff196","SALTED","false","2024-11-24 17:15:18.473+00"
"100","triple-threat","2c7ad469-1988-42b0-8c2d-88abad1ff196","SALTER","true","2024-11-24 17:15:27.392+00"
"101","carberry","5d1374d2-9cc5-48eb-84b2-e183488edff2","HECTOR","true","2024-11-24 17:16:18.731+00"
"102","triple-threat","5d1374d2-9cc5-48eb-84b2-e183488edff2","SALTER","true","2024-11-24 17:16:27.33+00"
"103","carberry","582393c6-a263-4da2-ba03-91905e02c8d6","TRUMANGRAYSON","false","2024-11-24 17:16:31.01+00"
"104","bould-idea","5d1374d2-9cc5-48eb-84b2-e183488edff2","CLOVER","true","2024-11-24 17:16:34.042+00"
"105","redacted","5d1374d2-9cc5-48eb-84b2-e183488edff2","PARAGRAPHICALLY","true","2024-11-24 17:17:06.275+00"
"107","triple-threat","661c4350-08eb-4b82-be93-57bd32e2494d","SMELTER","false","2024-11-24 17:18:32.848+00"
"108","triple-threat","661c4350-08eb-4b82-be93-57bd32e2494d","SMLTER","false","2024-11-24 17:18:44.503+00"
"109","redacted","2c7ad469-1988-42b0-8c2d-88abad1ff196","PARAGRAPHICALLY","true","2024-11-24 17:18:47.759+00"
"110","triple-threat","0495847e-de9c-4c6f-85c2-368cffee3e05","SALTER","true","2024-11-24 17:18:52.218+00"
