"id","puzzle_id","team_id","request","request_time","claimer","claim_time","response","response_time","status"
"6","carberry","a29306bd-fd6a-49c7-bb90-45a15abc7117","asdjfhasjkhgdfkajlshdf lkashdflkjahsd flkashdflkj asflkjsdhf ","2024-11-24 16:51:00.598+00","a29306bd-fd6a-49c7-bb90-45a15abc7117",,"[REFUNDED]",,"refunded"
"7","bould-idea","03d5461c-59ed-4232-ad30-b03b55d9971b","Hi! These are bouldering grips. Moving from the start in a roughly circular path to the finish and indexing into each name I get: unknown, sloper L, unknown, wave W, pocket E, crimp R. I can’t find the definite name for the others two and I have tried all words that fit .L.WER . Help! ","2024-11-24 18:27:01.759+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-24 18:34:21.756+00","Hi! Wave is IDed incorrectly; the other IDs are correct. I suspect correcting the Wave ID will be enough to get you the rest of the way. If you would like a stronger nudge, you are welcome to submit another hint request.","2024-11-24 18:36:06.257+00","refunded"
"8","shiritori","476d8e6a-3767-4ac0-ac45-b29c0088de75","I understand that the word link together to form a chain, with one set of words if you space them one way, and the other set if you space them differently.  I am unable to find a seven-letter word that fits for the top right photo (SUNRISE doesn't seem to work).  

My progress so far:

RIB-OXBOW-ELOPE-RADIO
   BOX-BOWEL-OPERA-DIODES
","2024-11-24 19:50:52.782+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-24 20:41:09.809+00","That's not quite how the central mechanic functions, but your ID's are good. I would suggest trying to figure out what the title of the puzzle means, and I think that will take you the rest of the way. Cheers!","2024-11-24 20:42:19.61+00","answered"
"9","objections","e793ef7c-486f-4e9d-a3f7-f08a4da1290f","I figured out what types of objections/questions the blanks are, and got AMBIGUOUS, IRRELEVANT, and ARGUMENTATIVE. Indexing into these gives BRT, which doesn't seem to have any further meaning in the context of the puzzle. I saw the flavor text mentions the queen's verdict, but couldn't really see anything there.","2024-11-24 20:45:43.316+00","a29306bd-fd6a-49c7-bb90-45a15abc7117","2024-11-24 21:36:36.215+00","You're on the right track! AMBIGUOUS and ARGUMENTATIVE are right, but IRRELEVANT is incorrect.","2024-11-24 21:39:15.827+00","answered"
"10","carberry","35ba7f5f-da63-486e-8fed-547c4744d1f6","please help!","2024-11-24 22:26:40.513+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-24 22:27:02.181+00","","2024-11-24 22:27:04.17+00","answered"
"11","spindle-choreography","64b46370-1012-4ea2-9bb9-a362ce8e00f4","I think I've figured out most of the renamed mathematical objects at this point:
Neolithic Topology	= Zariski Topology
Neolite = Vanishing Locus
I(S) = all polynomials with ker = S (which gives us an ideal)
Neolithic Closure = Vanishing Locus of I(S)
Linear Chain = Flag
Linear Environment = Grassmannian

The second half seems to be a pretty standard construction of the Zariski Topology, but I'm not really sure what the first half is. I think if I can dissect what a Spindle Skeleton is supposed to reference, or interpret ""There is a natural way in which this definition extends to Spindle Skeletons"", the rest would follow. Unfortunately I'm not aware of any construction or analog in linear algebra that resembles the Zariski Topology; could you point me in the right direction to find the right thing? Thanks!","2024-11-24 22:32:49.005+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-24 22:57:56.477+00","Hi! That's some pretty good progress. Your name IDs are correct. The ""natural extension"" referenced there is about the more abstract definition of the Zariski topology on the spectrum of a ring, which is certainly not obvious from the get-go ;). 

You are on the right track though! It is possible to view a Grassmannian as an affine algebraic variety, under which you can look at the Zariski closure of subsets of it. I would suggest digging around a bit more about Grassmannians, and see if you find anything similar to what is described in the worksheet. Best of luck!","2024-11-24 23:06:44.61+00","answered"
"12","maize-maze","6aefc139-0a0e-432d-a03f-4f0daf5ec1d9","Help! 

The paths are fixed just from the description that I should go straight over the ""letters"" (they look like numbers to me)

Are the positions of the puzzles in the maze relevant? Most of the puzzles I pass through don't belong to this meta...

Numbers go up to 10 and there are 10 different answers","2024-11-25 00:35:02.89+00","6aefc139-0a0e-432d-a03f-4f0daf5ec1d9",,"[REFUNDED]",,"refunded"
"13","bloodsuckers","36902569-f40b-420b-a823-c7be4fea7550","We're trying to figure this one out and it's tearing us apart, does it have anything to do with braile? Is the lip bite to baby about procreation or drinking blood to stay young? https://docs.google.com/spreadsheets/d/1RgDUJwhw-CHdgwj6wWHLgUeojJPH8iyd15oNw0ZNjyk/edit?gid=1896079905#gid=1896079905 is the google sheet we're working with right now","2024-11-25 01:45:40.66+00","5d1374d2-9cc5-48eb-84b2-e183488edff2","2024-11-25 02:12:44.257+00","Hey! I think you're conceptually pretty close. You're on the right track with the eventual extraction, but I will point out that you should be able to find a standardized dataset to pull from that should clear up any confusion. A search along the lines of 'list of vampire traits' should help a lot. The one you mentioned is about biting to procreate!","2024-11-25 02:18:58.939+00","refunded"
"14","maize-maze","36902569-f40b-420b-a823-c7be4fea7550","We're a little stuck on this one. So far, we have this: https://drive.google.com/file/d/1qvj7bHGQv_FLM3fLtZ6LRriQPl9Ip_UC/view?usp=sharing The thing that's not making much sense right now is the meta of it all; we're thinking that the correct path is the white one because it goes through the corn, we have all the answers to everything that both paths pass through but we just can't quite put together how to solve it out and what the numbers mean. Thank you so much, this has been a blast so far!","2024-11-25 02:51:16.587+00","36902569-f40b-420b-a823-c7be4fea7550","2024-11-25 04:23:57.2+00","[REFUNDED]",,"refunded"
"15","bould-idea","29aab91e-4461-4da9-8a1e-e3e196a9bc91","Hello I'm unsure where to really start or go forward with this puzzle, am i suppose to reverse image search the rock pieces or is this the META to the maze? Thanks!","2024-11-25 03:44:51.412+00","29aab91e-4461-4da9-8a1e-e3e196a9bc91",,"[REFUNDED]",,"refunded"
"16","objections","29aab91e-4461-4da9-8a1e-e3e196a9bc91","how should i go about solving this puzzle. I tried putting in common objection terms based on the transcript like ""Leading Q"" and ""Speculation"" but didn't get anything from it. I also recognize that the characters and the text seems to be referencing Alice in Wonderland so what would be the first step to solving.","2024-11-25 03:54:34.19+00","fee3c434-034b-4f1d-8da0-c3a686c74cec","2024-11-25 04:29:13.197+00","Hey! You're right that you should fill in the three sets of blanks and extract the highlighted letter. Each set of blanks is filled with a single word, no abbreviations.
If you want more help, send us the specific things you've tried for each set of blanks and we can confirm your data.","2024-11-25 04:30:21.997+00","refunded"
"17","bould-idea","d90332ef-93d1-47f3-a6db-3d6ddfae0f83","hi! im just generally confused here. im assuming im supposed to extract letters from the pictures of rock wall rocks, but i cant figure out from where? the only one i found a name for was ""wave"" and im even skeptical about that. thanks for your help!","2024-11-25 04:06:07.949+00","fee3c434-034b-4f1d-8da0-c3a686c74cec","2024-11-25 04:30:31.469+00","Hello!
In climbing/bouldering, different kinds of holds are referred to with different names. If you search for ""climbing holds"" in a search engine then a list should come up. There should be online articles describing each one and what they're like. (Wave is not a commonly accepted climbing hold type - it might be a brand name?)","2024-11-25 04:33:10.907+00","answered"
"18","objections","29aab91e-4461-4da9-8a1e-e3e196a9bc91","I've currently tried 
Leading Q
Speculation (not confident)
Non responsive

in the order of the blanks that were given, is there a common theme that i'm missing that is probably related to the puzzle or is it just simply objection categories","2024-11-25 05:06:04.671+00","fee3c434-034b-4f1d-8da0-c3a686c74cec","2024-11-25 05:15:32.159+00","They are objection categories, but you don't seem to be correctly identifying the way that a lawyer would object to each of these questions. (Again, these are all single words; no abbreviations.)
In the first case, the defense might complain about how vague the question was.
In the second case, it is unclear how Alice might know the answer to the question being posed.
In the third, the defense might take issue with the prosecution's tone and behavior.
Let us know if you need more help.","2024-11-25 05:18:40.386+00","answered"
"19","public-eye-exam","661c4350-08eb-4b82-be93-57bd32e2494d","Hello there, we think two of the feeders are PARAGRAPHICALLY and CENTRALEXECUTIVECOMMITTEEOFTHESOVIETUNION (and possibly others that we haven't disambiguated). We understand the answer has to do with darts, but not quite sure how. For instance, from PARAGRAPHICALLY, we get PA, GRAPH, and ALLY, which gives us 17, 50, and 50 respectively. We thought at first that the 50s represent bulls-eyes, and therefore to the letter E (as suggested in the eye chart on the puzzle page, which has an E over the bulls-eye). But there does not seem to be a way to fit the 17 (or map it to any given letter). Any nudge to get us unstuck, please?","2024-11-25 05:09:24.26+00","fee3c434-034b-4f1d-8da0-c3a686c74cec","2024-11-25 05:18:54.851+00","Nice work so far!
As you say, the letters in the eye exam map to specific squares on the dartboard. The squares in the dartboard that the letters map to are laid out similarly to how they are laid out in the eye exam; and the colorings match up. (So, the E goes on the bullseye, which is red with a green rim; then the next row goes onto white cells only; then the next cell goes onto black cells only; then the next row goes onto thin red and green rectangles.) There's only one way to lay out the letters such that E is at the top, all the letters are laid out correctly relative to each other, and the colors match correctly.
Once you've done that, take a look at the score values of the cells the letters are on. They should match up to your totals.","2024-11-25 05:21:33.611+00","answered"
