"id","name","answer"
"alice","Alice in Poker Hand","SCRYMEARIVER"
"bloodsuckers","Bloodsuckers","GARLIC"
"bould-idea","A Bould Idea","CLOVER"
"carberry","Josiah Carberry, Ph.D.","HECTOR"
"carberry-2","Josiah Carberry, Ph.D., Ph.D.","HELENOFTROY"
"flag-code","Flag Code","WAVER"
"gate-lock","Gate Lock","ESCKEY"
"gone-yesterday","Gone Yesterday, Displayed Today","BACKFILLS"
"incomplete-instrumentation","Incomplete Instrumentation","CAST"
"maize-maze","Maize Maze","ASBESTOSPOSSIBLE"
"math","數學題目","HORSE"
"objections","Objections","BUT"
"prada","Prada","DEVILSBEDPOST"
"prefix","Prefix","PLUM"
"previous-commute","Previous Commute","BUSING"
"public-eye-exam","Public Eye Exam","PEEKPERFORMANCE"
"record-time","Record Time","GUINNESS"
"redacted","   ","PARAGRAPHICALLY"
"shiritori","Shiritori","CENT"
"spindle-choreography","An Elementary Introduction to Spindle Choreography","CALCULUS"
"staze","Staze","GALOP"
"triple-threat","Triple Threat","SALTER"
"who-am-i","Who Am I?","CENTRALEXECUTIVECOMMITTEEOFTHESOVIETUNION"
